//Reference=MNI
//Wolf et al., 2018; verbal > non-verbal interaction types			
// Subjects=16			
-62	-26	-2	
62	0	-8	
			
//Wolf et al., 2018; non-verbal > verbal interaction types			
// Subjects=16			
-32	-64	-20	
28	-38	-22	
-28	-38	-22	
56	26	34	
44	0	58	
2	-60	54	
			
//Zhang et al., 2018; Modality > Emotion			
// Subjects=25			
39	-81	9	
48	-75	-3	
-48	-72	-3	
-38	-81	6	
51	-72	-6	
42	-57	-15	
-45	-72	-9	
51	-66	-3	
36	-54	-21	
33	-29	-24	
			
//Zhang et al., 2018; Emotion > Modality			
// Subjects=25			
51	-33	3	
54	-15	-6	
60	-6	-9	
51	-30	0	
51	-15	-12	
54	-24	-6	
-57	-21	-3	
-42	27	-9	
-30	21	-18	
48	30	0	
-51	21	6	
-48	27	0	
27	39	33	
-12	-81	3	
12	-63	-9	
-9	-81	0	
			
//Zhang et al., 2018; Modality X Emotion			
// Subjects=25			
60	-6	-6	
-63	-27	3	
-57	-12	-3	
42	-60	-12	
48	-63	-6	
45	-54	-24	
51	-66	0	
45	-75	9	
-48	-69	0	
-60	-15	-3	
-63	-30	3	
57	3	-12	
-48	-78	-6	
42	-63	-12	
45	-75	-3	
-48	-75	-3	
-42	-87	-9	
42	-78	0	
30	-90	9	
42	-60	-15	
39	-51	-18	
36	-69	-15	
-42	-81	-15	
-39	-54	-21	
			
//Morawetz et al., 2016; Observe-angry > Observe-neutral			
// Subjects=60			
-45	-68	30	
62	-58	29	
31	-74	8	
34	-61	18	
-3	-29	38	
-4	-86	21	
64	-31	-2	
64	-31	-2	
67	-32	7	
60	-10	11	
-58	-51	0	
-58	-51	0	
0	2	18	
7	40	-6	
23	-2	29	
23	-2	29	
28	22	19	
-25	-41	63	
-25	28	42	
-61	-29	12	
-61	-29	12	
-23	-7	29	
-42	-18	17	
-42	-18	17	
43	22	45	
-55	-19	-16	
-6	-53	61	
			
//Morawetz et al., 2016; Observe-neutral > Observe-angry			
// Subjects=60			
34	-83	-5	
26	-95	16	
12	-86	-2	
14	-97	2	
-38	-79	-4	
-13	 -96. -1		
-22	-96	17	
-25	-90	-1	
40	-58	-12	
36	-42	-16	
24	-28	2	
-21	-26	0	
-8	6	50	
47	0	30	
11	14	44	
9	-26	1	
36	20	5	
-27	-57	43	
-44	2	28	
-34	22	4	
-29	-4	48	
9	-15	8	
47	-31	41	
33	-6	50	
31	-59	45	
-6	-15	6	
-39	-37	39	
50	-46	13	
-3	-25	24	
6	-21	-13	
-16	10	5	
19	9	5	
-48	-49	11	
3	3	28	
22	-9	-10	
-17	-23	-13	
-21	-7	-11	
51	-22	-4	
			
//Morawetz et al., 2016; Observe-angry > Decrease			
// Subjects=60			
62	-22	30	
45	-34	41	
32	-14	56	
61	4	28	
7	0	50	
53	-29	2	
25	-55	55	
56	-44	13	
-4	20	39	
-52	-29	34	
-56	-5	35	
-58	-22	29	
-19	1	-4	
22	-3	-8	
11	-26	-4	
-11	-28	-2	
6	-5	2	
-33	13	13	
30	-25	-7	
-12	-62	54	
-3	-20	7	
-33	-44	56	
0	-12	8	
-50	12	3	
-40	-9	17	
-26	1	15	
-42	14	28	
16	-8	14	
-29	-12	56	
-53	-63	7	
51	16	-2	
51	16	-2	
			
//Morawetz et al., 2016; Decrease > Observe-angry			
// Subjects=60			
-45	-68	30	
0	37	-12	
6	-57	25	
			
//Morawetz et al., 2016; Observe-angry > Increase			
// Subjects=60			
-41	-19	55	
-24	-50	56	
-7	-9	50	
-50	-24	19	
-11	6	44	
-40	-9	15	
-20	-70	16	
16	-6	-10	
11	-26	-4	
-22	7	-5	
-11	-20	-8	
6	-3	2	
-3	-12	14	
30	-25	-5	
-36	21	-4	
3	-4	10	
-57	-2	33	
62	22	30	
39	-43	38	
58	5	23	
-49	26	25	
33	24	4	
33	24	4	
20	28	-3	
29	-11	53	
-45	-63	4	
			
//Morawetz et al., 2016; Increase > Observe-angry 			
// Subjects=60			
-45	-68	30	
42	-27	52	
-3	-60	25	
			
//Morawetz et al., 2016; Observe-angry > Increase + Decrease 			
// Subjects=60			
62	-22	30	
58	5	26	
-49	-29	36	
-29	-12	56	
-41	-19	55	
-57	-2	33	
-19	1	-7	
19	-3	-8	
11	-26	-4	
-4	-6	53	
-27	-50	56	
-12	-62	54	
6	-3	2	
30	-25	-5	
-14	-20	-8	
-8	-28	0	
-3	-12	14	
-33	13	13	
-36	18	-1	
33	24	4	
-55	11	4	
13	-7	14	
-11	6	44	
48	16	-2	
-40	-9	15	
-46	23	28	
-4	20	39	
36	20	-9	
-19	-69	40	
-20	-70	16	
32	-14	56	
53	-31	2	
-53	-65	7	
			
//Morawetz et al., 2016; Increase + Decrease > Observe-angry 			
// Subjects=60			
-45	-68	30	
-3	-60	25	
			
