//Reference=MNI	
//Quadflieg et al., 2015; Incongruent Interactions > Congruent Interactions"		 
// Subjects=12					 
41.54	-66.67	7.44	
-40.88	-64.21	7.76	

//Quadflieg et al., 2015; Incongruent Interactions > Non-Interactions"					 
// Subjects=12					 
54.18	-57.32	3.4	
-44.06	-64.44	4.46	
19.24	-45.41	-3.87	
-53.63	-45.2	9.86	

//Schneider et al., 2014; belief > photo/map trials"					 
// Subjects=16					 
48.96	-57.97	27.89	
-52.49	-52.31	31.43	
7.76	-54.76	34.57	
61.4	-18.93	-8.15	
-62.17	-32.57	-6.49	
-55.96	-1.2	-12.01	
-33.64	5.59	44	

//Suzuki et al., 2012; Simulated-other�s reward prediction error > Simulated-other�s action prediction error"					 
// Subjects=39					 
.92	56.82	-3	

//Suzuki et al., 2012; Simulated-other�s action prediction error > Simulated-other�s reward prediction error"					 
// Subjects=39					 
48.74	15.73	42.82	
7.54	19.15	52.82	
42.64	-54.06	40.98	
-46.12	-51.65	41.34	
42.23	21.89	-10.84	
7.52	-19.17	-4.49	
14.06	-76.25	-7.28	

//Suzuki et al., 2012; Reward probability (other) > Reward Prediction Error (other)"					 
// Subjects=39					 
4.07	60	-3.23	
-55.78	-27.94	16.46	
58.31	-20.48	18.61	
39.38	-15.05	58.3	
-11.46	2.01	34.13	
-40.03	-12.86	2.02	

//Suzuki et al., 2012;  Reward Prediction Error (control) > Reward probability (other)"					 
// Subjects=39					 
7.24	56.47	-9.67	

//Suzuki et al., 2012; Reward probability (other) >  Reward Prediction Error (control)"					 
// Subjects=39					 
-5.44	59.71	-6.49	
48.74	-15.07	4.98	

//Polosan et al., 2011; I(H + M) > C(H + M)"					 
// Subjects=14					 
13.96	11.81	69.93	
35.83	58.19	14.46	
7.55	12.37	45.51	
-39.96	3.77	49.71	
51.78	20.61	1.4	
16.9	33.74	14.03	
35.91	30.34	7.49	
39.51	-57.75	50.13	
-27.05	-46.72	67.52	
48.89	-67.76	-11.39	
-11.14	-72.61	55.88	
-1.7	-51.38	56.59	
14.2	-99.33	12.06	

//Polosan et al., 2011; H(I + C) > M(I + C)"					 
// Subjects=14					 
-5.42	54.66	-2.81	
-5.35	56.29	23.71	
54.88	36.26	-1.9	
-5.4	54.93	1.61	
-46.42	11.14	15.95	
67.84	-25.72	17.8	
35.98	-16.02	-25.96	
33.13	-87.58	-5.5	
-30.34	-72.56	-9.49	
-27.27	-43.96	-8.14	

//Polosan et al., 2011; [H(I > C)] > [M(I > C)]"					 
// Subjects=14					 
58.35	-4.59	54.15	
29.48	62.61	18.64	
13.74	34.11	20.68	
39.07	19.83	-9.57	
-55.75	-60.43	-14.61	
71.02	-49.38	-7.23	
32.93	-44.21	-20.68	

//Klasen et al., 2011; (CAV >  A) - (CAV >  V) - (ICAV >  A) - (ICAV >  V)"					 
// Subjects=24					 
60.5	-50.76	6.24	
15.99	-23.37	-5.36	
-15.69	-26.59	-1.63	
-50.45	-48.53	6.74	

//Klasen et al., 2011; (CAV >  A) - (CAV >  V)"					 
// Subjects=24					 
60.5	-50.76	6.24	
-50.47	-45.38	6.53	
28.56	-1.81	-16.9	
-25.32	-2.26	-16.55	
9.66	-26.58	-5.11	
-15.69	-26.59	-1.63	

//Klasen et al., 2011; (ICAV >  A) - (ICAV >  V)"					 
// Subjects=24					 
60.49	-47.6	6.02	
-59.96	-48.61	6.8	
-60.07	-30.51	-7.75	
-15.7	-26.79	-4.94	
22.33	-23.32	-5.4	

//Klasen et al., 2011; CAV > ICAV"					 
// Subjects=24					 
14.02	-49.82	10.89	
-14.53	-47.11	7.54	
-46.38	-6.21	8.26	
52.1	-65.67	5.09	
-58.97	-25.02	12.95	
-21.04	-16.87	-14.47	
32.8	-7.17	-18.78	
42.61	-27.43	62.46	
10.65	3.93	10.56	
-8.04	-63.94	41.95	
7.68	-73.97	-20.72	
48.97	-50.86	40.72	
-2	25.17	49.13	
51.91	15.76	42.8	
-33.45	-51.75	37.94	
-14.53	-74.56	-27.2	
-14.53	-74.56	-27.2	

//Klasen et al., 2011; Congruent happy AV > Incongruent"					 
// Subjects=24					 
-30.59	-7.7	-18.37	

//Klasen et al., 2011; (C Neutral > Incongruent)  - (C Angry > Incongruent)  - (C Happy > Incongruent) corrected"					 
// Subjects=24					 
14.01	-46.67	10.67	

//Klasen et al., 2011; (C Neutral > Incongruent)  - (C Angry > Incongruent)  - (C Happy > Incongruent) uncorrected"					 
// Subjects=24					 
-11.35	-50.24	7.74	

//Klasen et al., 2011; ICAV > CAV"					 
// Subjects=24					 
29.58	22.39	-.81	
48.63	16.45	2.82	
-33.82	21.86	-.4	

//Klasen et al., 2011; CAV > ICAV"					 
// Subjects=24					 
51.11	-54.91	43.21	
47.7	8.1	38.91	
47.61	23.25	27.89	
44.39	35.62	23.73	
41.37	-57.11	-43.16	
25.74	-65.59	27.44	
-37.94	12.87	25.77	
-43.99	-52.35	46.92	

//Farrow et al., 2011; Social alliance vs. �number equal�"					 
// Subjects=22					 
51.79	27.93	17.55	
61.3	30.11	17.35	
61.23	36.65	3.58	
-43.27	20.83	18.6	
-43.42	31.13	-19.84	
-34.95	22.33	-27.06	
9.48	51.5	29.51	
-5.31	53.68	32.77	
5.26	55.09	37.05	
-13.85	59.67	11.32	
1.15	36.17	56.13	
3.31	25.69	56.84	
-5.18	24.87	44.73	
-15.36	-103.51	16.96	
24.73	-99.01	-1.34	
43.53	-53.64	-21.21	
-24.07	-51.43	-9.86	
5.6	-51.39	21.04	
11.79	-29.64	-3.8	
-.9	-27.65	-3.86	

//Farrow et al., 2011; Social hierarchy vs. fame, age, gender and �no. higher / lower�					 
// Subjects=22					 
-45.53	31.12	-19.83	
-50.79	25.82	-19.44	
